ParticipantID,ParticipantEmail,ParticipantFirstName,ParticipantLastName,ParticipantDOB,ParticipantRole,ParticipantPhone,ParticipantCity,ParticipantState,ParticipantZip,ParticipantSchoolOrEmployer,ParticipantFieldOfInterest
P47,bella.anderson54@studentmail.org,Bella,Anderson,2008-08-28,participant,801-247-5011,St. George,UT,84026.0,Local Library,STEM
P48,benjamin.clark55@studentmail.org,Benjamin,Clark,2001-04-23,participant,801-609-4997,Bountiful,UT,84507.0,Tech Apprenticeship,Both
P49,ava.miller56@community.org,Ava,Miller,2008-06-02,participant,801-912-9486,West Jordan,UT,84181.0,Westview High,Both
P50,addison.davis57@community.org,Addison,Davis,2010-07-15,participant,801-675-9702,St. George,UT,84821.0,Local Library,Arts
P51,henry.flores58@community.org,Henry,Flores,2008-02-04,participant,801-362-8777,Riverton,UT,84919.0,BYU,STEM
P52,penelope.king59@community.org,Penelope,King,2014-01-02,participant,801-650-2269,West Jordan,UT,84282.0,BYU,STEM
P53,paisley.perez60@learners.net,Paisley,Perez,2006-08-04,participant,801-354-4788,Ogden,UT,84142.0,Art Studio,STEM
P54,hannah.jones61@community.org,Hannah,Jones,2007-04-30,participant,801-755-8633,Taylorsville,UT,84339.0,Westview High,STEM
P55,oliver.harris62@ellarises.org,Oliver,Harris,2004-09-12,participant,801-206-6763,Bountiful,UT,84489.0,Retail Store,Arts
P56,oliver.wright63@studentmail.org,Oliver,Wright,2008-11-22,participant,801-479-8140,Spanish Fork,UT,84225.0,Westview High,Arts
P57,violet.sanchez64@studentmail.org,Violet,Sanchez,1998-08-09,participant,801-330-9751,Riverton,UT,84942.0,Startup Lab,Arts
P58,sophia.garcia65@community.org,Sophia,Garcia,1999-02-16,participant,801-672-3977,St. George,UT,84888.0,BYU,Arts
P59,claire.wilson66@community.org,Claire,Wilson,2004-03-29,participant,801-979-7211,Lehi,UT,84346.0,Retail Store,Arts
P60,eleanor.garcia67@community.org,Eleanor,Garcia,2005-11-06,participant,801-752-1853,Salt Lake City,UT,84768.0,Valley Charter,Both
P61,harper.williams68@ellarises.org,Harper,Williams,2003-05-09,participant,801-220-3496,West Jordan,UT,84205.0,North Summit High,Arts
P62,ella.torres69@studentmail.org,Ella,Torres,2001-10-06,participant,801-462-7043,Riverton,UT,84717.0,Local Library,Both
P63,ella.hernandez70@learners.net,Ella,Hernandez,2010-11-30,participant,801-226-6111,Logan,UT,84593.0,Tech Apprenticeship,Arts
P64,james.gonzalez71@ellarises.org,James,Gonzalez,2013-05-07,participant,801-913-5941,West Jordan,UT,84105.0,Local Library,STEM
P65,mia.thompson72@community.org,Mia,Thompson,1998-04-14,participant,801-718-6590,Draper,UT,84071.0,Community Center,Arts
P66,alexander.miller73@community.org,Alexander,Miller,2007-10-08,participant,801-670-3506,Draper,UT,84651.0,North Summit High,Both
P67,michael.moore74@community.org,Michael,Moore,2005-03-25,participant,801-948-5397,Riverton,UT,84447.0,Community Center,STEM
P68,emily.moore75@community.org,Emily,Moore,2005-07-18,participant,801-675-7209,West Jordan,UT,84769.0,Westview High,Arts
P69,penelope.scott77@ellarises.org,Penelope,Scott,2003-06-01,participant,801-395-2402,Pleasant Grove,UT,84971.0,Art Studio,Arts
P70,alexander.scott78@studentmail.org,Alexander,Scott,2008-01-20,participant,801-928-9041,Spanish Fork,UT,84662.0,Retail Store,STEM
P71,emily.jackson79@studentmail.org,Emily,Jackson,2012-11-22,participant,801-449-6016,Bountiful,UT,84709.0,Local Library,Arts
P72,jack.scott80@learners.net,Jack,Scott,2005-11-22,participant,801-763-6419,Taylorsville,UT,84764.0,Art Studio,Arts
P73,sebastian.lopez82@studentmail.org,Sebastian,Lopez,2014-04-02,participant,801-695-5530,Sandy,UT,84757.0,Local Library,Both
P74,aurora.miller83@studentmail.org,Aurora,Miller,2004-10-12,participant,801-569-3939,Murray,UT,84233.0,Westview High,Both
P75,sebastian.rodriguez84@learners.net,Sebastian,Rodriguez,2013-08-23,participant,801-255-5786,Provo,UT,84998.0,North Summit High,Both
P76,alexander.miller85@ellarises.org,Alexander,Miller,2005-08-23,participant,801-690-8216,Murray,UT,84481.0,North Summit High,STEM
P77,eleanor.walker86@ellarises.org,Eleanor,Walker,2010-12-10,participant,801-703-2213,Ogden,UT,84411.0,Tech Apprenticeship,Both
P78,victoria.king88@community.org,Victoria,King,2011-03-15,participant,801-653-5871,Riverton,UT,84931.0,SLCC,Arts
P79,amelia.flores89@ellarises.org,Amelia,Flores,2012-10-24,participant,801-416-5335,Sandy,UT,84641.0,East Ridge Middle,STEM
P80,lillian.lopez90@ellarises.org,Lillian,Lopez,2013-06-18,participant,801-618-8381,Orem,UT,84003.0,Local Library,Arts
P81,savannah.williams91@studentmail.org,Savannah,Williams,1999-08-07,participant,801-489-8438,Murray,UT,84724.0,Tech Apprenticeship,STEM
P82,lucy.nguyen92@studentmail.org,Lucy,Nguyen,2012-07-11,participant,801-757-4683,Taylorsville,UT,84118.0,North Summit High,Arts
P83,aria.jones93@ellarises.org,Aria,Jones,2007-11-07,participant,801-514-5728,Orem,UT,84812.0,East Ridge Middle,Arts
P84,brooklyn.sanchez94@learners.net,Brooklyn,Sanchez,1999-10-21,participant,801-705-8172,Pleasant Grove,UT,84553.0,Local Library,STEM
P85,william.lee95@learners.net,William,Lee,2013-01-29,participant,801-434-1339,Salt Lake City,UT,84094.0,Community Center,Arts
P86,mia.lopez96@community.org,Mia,Lopez,2002-01-26,participant,801-652-5557,Pleasant Grove,UT,84668.0,Local Library,Arts
P87,alexander.garcia97@community.org,Alexander,Garcia,2013-01-11,participant,801-541-6260,Draper,UT,84419.0,East Ridge Middle,STEM
P88,skylar.clark98@community.org,Skylar,Clark,2008-03-14,participant,801-610-1601,Murray,UT,84679.0,East Ridge Middle,Arts
P89,eleanor.lee99@ellarises.org,Eleanor,Lee,2012-10-01,participant,801-726-1018,Bountiful,UT,84886.0,Community Center,Both
P90,theodore.clark100@ellarises.org,Theodore,Clark,2012-01-11,participant,801-570-9167,Sandy,UT,84531.0,Mountain View High,STEM
P91,grace.moore101@studentmail.org,Grace,Moore,2000-09-21,participant,801-915-8941,Murray,UT,84449.0,Westview High,Both
P92,lillian.hernandez102@learners.net,Lillian,Hernandez,2003-01-15,participant,801-617-2527,Salt Lake City,UT,84566.0,Community Center,STEM
P93,oliver.walker104@community.org,Oliver,Walker,2006-08-09,participant,801-764-3369,West Jordan,UT,84468.0,Valley Charter,Both
P94,daniel.rodriguez105@ellarises.org,Daniel,Rodriguez,2009-05-22,participant,801-624-6568,Layton,UT,84792.0,BYU,STEM
P95,aurora.martin106@community.org,Aurora,Martin,2005-09-28,participant,801-751-8935,St. George,UT,84458.0,UVU,Both
P96,ethan.harris107@community.org,Ethan,Harris,2010-10-29,participant,801-393-4912,Lehi,UT,84891.0,SLCC,STEM
P97,noah.williams108@learners.net,Noah,Williams,2012-11-19,participant,801-590-7325,Spanish Fork,UT,84723.0,Retail Store,Both
P98,scarlett.young109@ellarises.org,Scarlett,Young,2000-04-02,participant,801-804-6439,St. George,UT,84515.0,Community Center,Arts
P99,elizabeth.king110@community.org,Elizabeth,King,2012-09-07,participant,801-347-7717,Salt Lake City,UT,84740.0,North Summit High,STEM
P100,jack.taylor111@learners.net,Jack,Taylor,2013-02-15,participant,801-282-6383,Bountiful,UT,84666.0,Community Center,Both
P101,leah.lee112@community.org,Leah,Lee,2012-02-27,participant,801-270-4846,Provo,UT,84633.0,Tech Apprenticeship,Arts
P102,madison.garcia113@community.org,Madison,Garcia,2007-12-14,participant,801-848-2646,Logan,UT,84779.0,North Summit High,Both
P103,brooklyn.johnson114@ellarises.org,Brooklyn,Johnson,2006-01-15,participant,801-257-5806,Lehi,UT,84816.0,UVU,Arts
P104,aria.thomas115@community.org,Aria,Thomas,2011-09-02,participant,801-379-2293,Orem,UT,84175.0,Community Center,Arts
P105,lillian.young116@studentmail.org,Lillian,Young,2008-04-22,participant,801-853-5161,West Jordan,UT,84473.0,BYU,Both
P106,olivia.robinson117@learners.net,Olivia,Robinson,2011-03-07,participant,801-652-6661,Orem,UT,84076.0,BYU,Both
P107,elijah.taylor118@community.org,Elijah,Taylor,2000-05-23,participant,801-593-8916,Murray,UT,84204.0,Valley Charter,Arts
P108,stella.torres119@learners.net,Stella,Torres,2004-02-27,participant,801-874-7484,Murray,UT,84023.0,Westview High,Both
P109,charlotte.hill120@community.org,Charlotte,Hill,2002-11-30,participant,801-435-6772,Murray,UT,84795.0,Tech Apprenticeship,STEM
P110,eleanor.rodriguez121@ellarises.org,Eleanor,Rodriguez,2010-12-31,participant,801-651-1546,Provo,UT,84317.0,UVU,Both
P111,sofia.garcia122@learners.net,Sofia,Garcia,2002-07-03,participant,801-625-3877,Lehi,UT,84766.0,North Summit High,Both
P112,natalie.king123@learners.net,Natalie,King,2014-09-29,participant,801-693-5835,Orem,UT,84264.0,Community Center,Arts
P113,ella.robinson124@ellarises.org,Ella,Robinson,2010-07-02,participant,801-431-7511,St. George,UT,84773.0,UVU,STEM
P114,james.smith125@learners.net,James,Smith,2011-02-10,participant,801-577-5295,Logan,UT,84466.0,SLCC,Both
P115,zoe.miller126@studentmail.org,Zoe,Miller,2011-09-07,participant,801-834-6374,Spanish Fork,UT,84026.0,Valley Charter,Both
P116,harper.robinson127@learners.net,Harper,Robinson,1998-11-01,participant,801-343-1742,Taylorsville,UT,84120.0,BYU,Arts
P117,ella.miller128@studentmail.org,Ella,Miller,2013-01-14,participant,801-664-7078,St. George,UT,84398.0,Art Studio,Both
P118,ethan.clark129@studentmail.org,Ethan,Clark,2011-10-23,participant,801-301-9017,Taylorsville,UT,84671.0,SLCC,Arts
P119,isabella.white130@studentmail.org,Isabella,White,2000-03-24,participant,801-441-6942,Riverton,UT,84456.0,Tech Apprenticeship,Arts
P120,ethan.thompson131@ellarises.org,Ethan,Thompson,2008-03-14,participant,801-394-3001,Bountiful,UT,84283.0,East Ridge Middle,Both
P121,hannah.hill132@ellarises.org,Hannah,Hill,2000-10-28,participant,801-541-4990,Provo,UT,84806.0,Retail Store,Both
P122,grace.jones133@studentmail.org,Grace,Jones,2001-04-23,participant,801-438-6383,Sandy,UT,84833.0,Retail Store,Both
P123,ava.moore134@studentmail.org,Ava,Moore,2000-06-19,participant,801-456-3858,St. George,UT,84554.0,Tech Apprenticeship,STEM
P124,sofia.smith135@learners.net,Sofia,Smith,2001-11-28,participant,801-531-1258,West Jordan,UT,84603.0,BYU,STEM
P125,sofia.clark136@ellarises.org,Sofia,Clark,2009-07-06,participant,801-659-6931,Ogden,UT,84488.0,Local Library,STEM
P126,lucas.allen137@studentmail.org,Lucas,Allen,2004-10-06,participant,801-874-9543,Provo,UT,84745.0,Mountain View High,Both
P127,sophia.brown138@community.org,Sophia,Brown,2008-12-30,participant,801-902-2768,Bountiful,UT,84437.0,Art Studio,Arts
P128,evelyn.garcia139@learners.net,Evelyn,Garcia,2012-01-02,participant,801-329-5505,St. George,UT,84068.0,Tech Apprenticeship,Both
P129,claire.harris140@learners.net,Claire,Harris,2000-03-23,participant,801-819-8048,Riverton,UT,84518.0,Retail Store,Both
P130,ella.scott141@studentmail.org,Ella,Scott,2005-08-08,participant,801-433-7779,Taylorsville,UT,84463.0,Community Center,Arts
P131,liam.clark142@ellarises.org,Liam,Clark,2006-05-25,participant,801-520-5176,Lehi,UT,84438.0,North Summit High,Both
P132,jack.jones143@ellarises.org,Jack,Jones,2014-09-13,participant,801-642-2582,Ogden,UT,84096.0,Art Studio,Arts
P133,sofia.scott144@ellarises.org,Sofia,Scott,2005-12-06,participant,801-325-7730,Lehi,UT,84687.0,Community Center,Both
P134,elijah.brown145@learners.net,Elijah,Brown,2002-10-09,participant,801-306-9313,Murray,UT,84361.0,North Summit High,Both
P135,victoria.ramirez147@ellarises.org,Victoria,Ramirez,2013-10-05,participant,801-384-5477,Layton,UT,84030.0,Retail Store,Arts
P136,violet.thompson148@ellarises.org,Violet,Thompson,1999-07-25,participant,801-346-7566,Orem,UT,84891.0,North Summit High,Both
P137,sophia.garcia149@studentmail.org,Sophia,Garcia,2001-07-13,participant,801-664-6585,Bountiful,UT,84430.0,UVU,Arts
P138,claire.torres150@ellarises.org,Claire,Torres,2013-02-12,participant,801-361-1815,Provo,UT,84160.0,East Ridge Middle,Arts
P139,henry.ramirez151@community.org,Henry,Ramirez,2014-12-07,participant,801-479-4531,Riverton,UT,84425.0,Cafe Rio,STEM
P140,kennedy.ramirez152@ellarises.org,Kennedy,Ramirez,2009-10-26,participant,801-894-8972,Murray,UT,84695.0,Tech Apprenticeship,Arts
P141,mia.anderson153@community.org,Mia,Anderson,2002-09-27,participant,801-409-5938,Provo,UT,84008.0,Retail Store,STEM
P142,eleanor.jackson154@learners.net,Eleanor,Jackson,2001-12-10,participant,801-709-8055,Logan,UT,84008.0,North Summit High,Arts
P143,sebastian.anderson155@learners.net,Sebastian,Anderson,2007-10-14,participant,801-959-1693,Ogden,UT,84407.0,Westview High,Arts
P144,evelyn.lee156@community.org,Evelyn,Lee,2004-06-29,participant,801-855-7843,Bountiful,UT,84727.0,East Ridge Middle,Arts
P145,emma.lee157@studentmail.org,Emma,Lee,1999-12-23,participant,801-906-6928,Riverton,UT,84852.0,SLCC,STEM
P146,addison.ramirez158@community.org,Addison,Ramirez,2014-09-23,participant,801-605-6083,Pleasant Grove,UT,84081.0,UVU,STEM
P147,skylar.hernandez159@ellarises.org,Skylar,Hernandez,2009-06-09,participant,801-316-9693,Pleasant Grove,UT,84649.0,Valley Charter,Arts
P148,kennedy.martinez160@studentmail.org,Kennedy,Martinez,2001-11-22,participant,801-462-4232,Logan,UT,84150.0,Local Library,STEM
P149,evelyn.lopez161@community.org,Evelyn,Lopez,2013-04-11,participant,801-777-8354,Riverton,UT,84773.0,Startup Lab,Both
P150,claire.lee162@studentmail.org,Claire,Lee,2012-02-29,participant,801-680-8245,Riverton,UT,84070.0,BYU,Arts
P151,amelia.thompson163@ellarises.org,Amelia,Thompson,1999-04-12,participant,801-662-1616,Murray,UT,84473.0,UVU,Arts
P152,evelyn.garcia164@community.org,Evelyn,Garcia,2008-02-02,participant,801-767-1672,Riverton,UT,84595.0,Startup Lab,Both
P153,zoey.lee165@community.org,Zoey,Lee,2000-04-27,participant,801-263-8381,Pleasant Grove,UT,84155.0,Retail Store,Arts
P154,abigail.allen166@studentmail.org,Abigail,Allen,2007-11-09,participant,801-924-8172,Provo,UT,84254.0,Cafe Rio,Both
P155,lily.white167@learners.net,Lily,White,2013-03-24,participant,801-618-6543,Murray,UT,84397.0,Local Library,STEM
P156,skylar.jones168@learners.net,Skylar,Jones,2004-05-16,participant,801-894-7333,Logan,UT,84572.0,BYU,Both
P157,scarlett.perez169@ellarises.org,Scarlett,Perez,2012-09-18,participant,801-558-6082,St. George,UT,84939.0,Art Studio,Both
P158,james.rodriguez170@ellarises.org,James,Rodriguez,2000-11-12,participant,801-585-6381,Murray,UT,84573.0,Tech Apprenticeship,Both
P159,mason.garcia171@community.org,Mason,Garcia,2004-12-05,participant,801-218-6940,Pleasant Grove,UT,84371.0,North Summit High,STEM
P160,violet.young172@studentmail.org,Violet,Young,2004-08-20,participant,801-358-2264,West Jordan,UT,84141.0,Community Center,STEM
P161,mateo.wright173@ellarises.org,Mateo,Wright,2011-05-25,participant,801-984-3147,Lehi,UT,84898.0,SLCC,STEM
P162,lily.lopez174@studentmail.org,Lily,Lopez,2013-03-03,participant,801-620-6968,Riverton,UT,84045.0,Art Studio,STEM
P163,henry.flores175@learners.net,Henry,Flores,2004-12-10,participant,801-746-4918,Riverton,UT,84240.0,Retail Store,Arts
P164,zoey.white176@community.org,Zoey,White,2009-04-12,participant,801-488-7256,Riverton,UT,84788.0,Cafe Rio,Arts
P165,lily.gonzalez177@studentmail.org,Lily,Gonzalez,2006-04-29,participant,801-856-8873,Layton,UT,84054.0,Cafe Rio,STEM
P166,michael.davis178@learners.net,Michael,Davis,2008-01-29,participant,801-364-5469,Ogden,UT,84782.0,Startup Lab,Both
P167,aria.ramirez179@ellarises.org,Aria,Ramirez,1998-08-07,participant,801-661-6727,West Jordan,UT,84837.0,SLCC,STEM
P168,james.allen180@learners.net,James,Allen,2003-01-14,participant,801-283-7142,West Jordan,UT,84396.0,Westview High,Arts
P169,elizabeth.perez181@studentmail.org,Elizabeth,Perez,2013-08-12,participant,801-493-8740,St. George,UT,84040.0,Community Center,STEM
P170,jack.lewis182@ellarises.org,Jack,Lewis,2001-05-09,participant,801-462-4533,Ogden,UT,84020.0,Cafe Rio,Both
P171,mason.ramirez183@ellarises.org,Mason,Ramirez,1999-01-27,participant,801-508-2996,Murray,UT,84244.0,Valley Charter,Arts
P172,benjamin.jones184@ellarises.org,Benjamin,Jones,2012-03-04,participant,801-748-1269,Spanish Fork,UT,84612.0,Cafe Rio,Both
P173,lillian.martinez185@learners.net,Lillian,Martinez,2003-05-25,participant,801-829-6780,Taylorsville,UT,84002.0,Local Library,Arts
P174,riley.garcia186@learners.net,Riley,Garcia,2009-05-19,participant,801-738-9914,Ogden,UT,84977.0,Retail Store,Both
P175,emma.harris187@community.org,Emma,Harris,2003-09-09,participant,801-596-7116,Provo,UT,84651.0,Art Studio,STEM
P176,stella.jones188@learners.net,Stella,Jones,2011-01-19,participant,801-872-2698,West Jordan,UT,84751.0,Art Studio,Arts
P177,camila.williams189@learners.net,Camila,Williams,2013-05-10,participant,801-858-3868,Lehi,UT,84834.0,Mountain View High,Both
P178,levi.lopez190@studentmail.org,Levi,Lopez,1998-10-30,participant,801-994-8498,Ogden,UT,84734.0,BYU,STEM
P179,mia.gonzalez191@ellarises.org,Mia,Gonzalez,2006-12-07,participant,801-517-9444,Lehi,UT,84956.0,Community Center,Both
P180,jack.taylor192@ellarises.org,Jack,Taylor,2012-09-15,participant,801-565-1783,Sandy,UT,84293.0,UVU,Arts
P181,avery.white193@community.org,Avery,White,2005-08-09,participant,801-650-7334,Bountiful,UT,84762.0,North Summit High,Arts
P182,jackson.white194@learners.net,Jackson,White,2007-08-29,participant,801-634-2293,Ogden,UT,84745.0,Local Library,STEM
P183,ethan.jackson195@learners.net,Ethan,Jackson,2004-11-15,participant,801-535-5843,Logan,UT,84082.0,Mountain View High,Both
P184,amelia.jones197@community.org,Amelia,Jones,1998-09-13,participant,801-967-3621,Draper,UT,84526.0,North Summit High,Both
P185,henry.williams198@studentmail.org,Henry,Williams,2006-02-14,participant,801-997-7001,Ogden,UT,84242.0,SLCC,Both
P186,isabella.hill199@studentmail.org,Isabella,Hill,2007-12-16,participant,801-579-7095,Riverton,UT,84972.0,Retail Store,STEM
P187,camila.king200@learners.net,Camila,King,2003-08-07,participant,801-865-5566,Bountiful,UT,84322.0,East Ridge Middle,STEM
P188,riley.young201@community.org,Riley,Young,2013-10-16,participant,801-993-5264,Logan,UT,84269.0,Mountain View High,STEM
P189,henry.garcia203@learners.net,Henry,Garcia,2004-07-06,participant,801-266-9882,Draper,UT,84727.0,Startup Lab,Arts
P190,lily.lopez204@learners.net,Lily,Lopez,2001-02-11,participant,801-324-4292,Pleasant Grove,UT,84230.0,Valley Charter,Arts
P191,sophia.white205@learners.net,Sophia,White,2011-09-23,participant,801-764-3126,Riverton,UT,84823.0,Startup Lab,STEM
P192,harper.martin206@community.org,Harper,Martin,2010-11-23,participant,801-620-7708,Spanish Fork,UT,84539.0,East Ridge Middle,STEM
P193,aaliyah.jones207@community.org,Aaliyah,Jones,2000-11-17,participant,801-729-6644,Riverton,UT,84697.0,Startup Lab,Both
P194,riley.rodriguez208@community.org,Riley,Rodriguez,2009-08-15,participant,801-256-3034,Pleasant Grove,UT,84933.0,North Summit High,Arts
P195,penelope.rodriguez210@learners.net,Penelope,Rodriguez,2011-04-11,participant,801-856-3762,Ogden,UT,84515.0,Local Library,STEM
P196,chloe.flores211@learners.net,Chloe,Flores,1999-01-08,participant,801-229-2330,Provo,UT,84846.0,Tech Apprenticeship,Both
P197,lucy.wilson212@community.org,Lucy,Wilson,2004-06-30,participant,801-842-9938,Salt Lake City,UT,84510.0,Tech Apprenticeship,Arts
P198,levi.thomas213@community.org,Levi,Thomas,2001-07-18,participant,801-274-1981,Murray,UT,84465.0,Mountain View High,Arts
P199,levi.robinson214@studentmail.org,Levi,Robinson,2014-02-10,participant,801-347-6121,Lehi,UT,84622.0,UVU,Both
P200,kennedy.sanchez215@studentmail.org,Kennedy,Sanchez,2005-02-27,participant,801-775-2739,Draper,UT,84528.0,Valley Charter,Arts
P201,avery.moore216@community.org,Avery,Moore,2004-07-05,participant,801-299-1829,West Jordan,UT,84145.0,SLCC,Both
P202,oliver.thomas217@studentmail.org,Oliver,Thomas,2002-04-05,participant,801-791-6123,Lehi,UT,84957.0,Retail Store,STEM
P203,jackson.allen218@community.org,Jackson,Allen,1998-07-09,participant,801-515-9148,Spanish Fork,UT,84901.0,East Ridge Middle,Arts
P204,mateo.robinson219@studentmail.org,Mateo,Robinson,1999-02-19,participant,801-561-1797,Sandy,UT,84598.0,BYU,Arts
P205,jack.jackson220@ellarises.org,Jack,Jackson,2014-04-26,participant,801-337-5333,Logan,UT,84442.0,UVU,Arts
P206,natalie.williams221@community.org,Natalie,Williams,2006-02-17,participant,801-775-4189,Provo,UT,84584.0,Cafe Rio,Arts
P207,evelyn.harris222@community.org,Evelyn,Harris,2000-11-20,participant,801-838-2946,Layton,UT,84846.0,East Ridge Middle,Arts
